old_label	new_label
2024_1	1_Eupsophus_roseus_Erossj012017_Santa_Juana_2024
2024_2	2_Eupsophus_roseus_Erossj022017_Santa_Juana_2024
2024_3	3_Eupsophus_roseus_Erossj032017_Santa_Juana_2024
2024_4	4_Eupsophus_roseus_Erossj042017_Santa_Juana_2024
2024_5	5_Eupsophus_contulmoensis_Econtct012017_Contulmo_2024
2024_6	6_Eupsophus_contulmoensis_Econtct022017_Contulmo_2024
2024_7	7_Eupsophus_contulmoensis_Econtct032017_Contulmo_2024
2024_8	8_Eupsophus_migueli_Emicol1012016_Colegual_IV_2024
2024_9	9_Eupsophus_migueli_Emicol1022016_Colegual_IV_2024
2024_10	10_Eupsophus_migueli_Emicol1032016_Colegual_IV_2024
2024_11	11_Eupsophus_migueli_Emicol1042016_Colegual_IV_2024
2024_12	12_Eupsophus_migueli_Emicol1052016_Colegual_IV_2024
2024_13	13_Eupsophus_septentrionalis_Esep01_Los_Queules_2024
2024_14	14_Eupsophus_septentrionalis_Esep02_Los_Queules_2024
2024_15	15_Eupsophus_roseus_Erossj012023_Santa_Juana_2024
2024_16	16_Eupsophus_roseus_Erossj022023_Santa_Juana_2024
2024_17	17_Eupsophus_roseus_Erossj032023_Santa_Juana_2024
2024_18	18_Eupsophus_roseus_Erossj012023h_Santa_Juana_2024
2024_19	19_Eupsophus_roseus_Erossj032023h_Santa_Juana_2024
2024_20	20_Eupsophus_altor_Ealtceron012016_Cerro_Oncol_2024
2024_21	21_Eupsophus_altor_Ealtceron022016_Cerro_Oncol_2024
2024_22	22_Eupsophus_altor_Ealtceron032016_Cerro_Oncol_2024
2024_23	23_Eupsophus_altor_Ealtceron042016_Cerro_Oncol_2024
2024_24	24_Eupsophus_altor_Ealtceron052016_Cerro_Oncol_2024
2024_25	25_Eupsophus_altor_Ealtceron062016_Cerro_Oncol_2024
2024_26	26_Eupsophus_altor_Ealtceron07sf_Cerro_Oncol_2024
2024_27	27_Eupsophus_altor_Ealtceron08sf_Cerro_Oncol_2024
2024_28	28_Eupsophus_altor_Ealtceron09sf_Cerro_Oncol_2024
2024_29	29_Eupsophus_altor_Ealtceron10sf_Cerro_Oncol_2024
2024_30	30_Eupsophus_altor_Ealtceron11sf_Cerro_Oncol_2024
2024_31	31_Eupsophus_altor_Ealtceron12sf_Cerro_Oncol_2024
2024_32	32_Eupsophus_altor_Ealtceron13sf_Cerro_Oncol_2024
2024_33	33_Eupsophus_altor_Ealtceron14sf_Cerro_Oncol_2024
2024_34	34_Eupsophus_altor_Ealtceron15sf_Cerro_Oncol_2024
2024_35	35_Eupsophus_septentrionalis_Esep032017_Los_Queules_2024
2024_36	36_Eupsophus_septentrionalis_Esep042017_Los_Queules_2024
2024_37	37_Eupsophus_septentrionalis_Esep052017_Los_Queules_2024
2024_38	38_Eupsophus_septentrionalis_Esep062017_Los_Queules_2024
2024_39	39_Eupsophus_septentrionalis_Esep072017_Los_Queules_2024
2024_40	40_Eupsophus_septentrionalis_Esep082017_Los_Queules_2024
2024_41	41_Eupsophus_roseus_Erossj022023h_Santa_Juana_2024
2024_42	42_Pleurodema_bufonina_Pbuflj0124_Los_Barros_2024
2024_43	43_Pleurodema_bufonina_Pbuflj0224_Los_Barros_2024
2024_44	44_Pleurodema_bufonina_Pbufpp0124_Paso_pehuenche_2024
2024_45	45_Pleurodema_bufonina_Pbufpp0224_Paso_pehuenche_2024
2024_46	46_Pleurodema_bufonina_Pbufpp0324_Paso_pehuenche_2024
2024_47	47_Pleurodema_bufonina_Pbufpp0424_Paso_pehuenche_2024
2024_48	48_Pleurodema_bufonina_Pbufpp0524_Paso_pehuenche_2024
2024_49	49_Pleurodema_bufonina_Pbufpp0624_Paso_pehuenche_2024
2024_50	50_Pleurodema_bufonina_Pbufpp0724_Paso_pehuenche_2024
2024_51	51_Pleurodema_bufonina_Pbufpp0824_Paso_pehuenche_2024
2024_52	52_Pleurodema_bufonina_Pbufpp0924_Paso_pehuenche_2024
2024_53	53_Pleurodema_bufonina_Pbufpp1024_Paso_pehuenche_2024
2024_54	54_Pleurodema_bufonina_Pbufpp1124_Paso_pehuenche_2024
2024_55	55_Pleurodema_bufonina_Pbufpp1224_Paso_pehuenche_2024
2024_56	56_Pleurodema_bufonina_Pbufpp1324_Paso_pehuenche_2024
2024_57	57_Pleurodema_bufonina_Pbufpp1424_Paso_pehuenche_2024
2024_58	58_Pleurodema_bufonina_Pbufpp1524_Paso_pehuenche_2024
