ID	Especie	Código	Tipo muestra	Localidad	Año	LABORATORIO
1	Eupsophus roseus	Erorloc03	Tejido hepático	Río Los Cruces	2024	LAB ECO EVO UBB 
2	Eupsophus roseus	Erorloc04	Biopsia hepática	Río Los Cruces	2024	LAB ECO EVO UBB 
3	Eupsophus roseus	Erorloc01	Tejido hepático	Río Los Cruces	2024	LAB ECO EVO UBB 
4	Eupsophus roseus	Eropuc01	Biopsia hepática	Pucón	2024	LAB ECO EVO UBB 
5	Eupsophus vertebralis	Evercol02	Tejido hepático	Colegual	2024	LAB ECO EVO UBB 
6	Eupsophus vertebralis	Esp01	Biopsia hepática	Colegual	2024	LAB ECO EVO UBB 
7	Eupsophus vertebralis	Evercol04	Biopsia hepática	Colegual	2024	LAB ECO EVO UBB 
8	Eupsophus roseus	Eroarb08	Biopsia hepática	Arboretum	2024	LAB ECO EVO UBB 
9	Eupsophus roseus	Eroarb09	Biopsia hepática	Arboretum	2024	LAB ECO EVO UBB 
10	Eupsophus roseus	Eroarb01	Biopsia hepática	Arboretum	2024	LAB ECO EVO UBB 
11	Eupsophus roseus	Eroarb06	Biopsia hepática	Arboretum	2024	LAB ECO EVO UBB 
12	Eupsophus roseus	Eroarb04	Biopsia hepática	Arboretum	2024	LAB ECO EVO UBB 
13	Eupsophus roseus	Eroarb07	Tejido hepático	Arboretum	2024	LAB ECO EVO UBB 
14	Eupsophus roseus	Eroarb05	Tejido hepático	Arboretum	2024	LAB ECO EVO UBB 
15	Eupsophus roseus	Eroarb11	Tejido hepático	Arboretum	2024	LAB ECO EVO UBB 
16	Eupsophus roseus	Eroarb10	Tejido hepático	Arboretum	2024	LAB ECO EVO UBB 
17	Eupsophus roseus	Eroarb02	Tejido hepático	Arboretum	2024	LAB ECO EVO UBB 
18	Eupsophus vertebralis	Evercol06	Biopsia hepática	Colegual	2024	LAB ECO EVO UBB 
19	Eupsophus altor	Ealtale01	Biopsia hepática	Alepue	2024	LAB ECO EVO UBB 
20	Eupsophus vertebralis	Evercol07	Biopsia hepática	Colegual	2024	LAB ECO EVO UBB 
21	Eupsophus roseus	Erocol02	Biopsia hepática	Colegual	2024	LAB ECO EVO UBB 
22	Eupsophus vertebralis	Everale01	Biopsia hepática	Alepue	2024	LAB ECO EVO UBB 
23	Eupsophus roseus	Ercocol01	Tejido hepático	Colegual	2024	LAB ECO EVO UBB 
24	Eupsophus altor	Ealtale02	Tejido hepático	Alepue	2024	LAB ECO EVO UBB 
25	Eupsophus vertebralis	Everponco01	Biopsia hepática	Parque Oncol	2024	LAB ECO EVO UBB 
26	Eupsophus roseus	Eroponco01	Biopsia hepática	Parque Oncol	2024	LAB ECO EVO UBB 
