ID	Especie	Código	Tipo muestra	Localidad	Año	LABORATORIO
1	Eupsophus roseus	Erossj012017	Biopsia hepática	Santa Juana	2017	LAB ECO EVO UBB 
2	Eupsophus roseus	Erossj022017	Biopsia hepática	Santa Juana	2017	LAB ECO EVO UBB 
3	Eupsophus roseus	Erossj032017	Tejido hepático	Santa Juana	2017	LAB ECO EVO UBB 
4	Eupsophus roseus	Erossj042017	Tejido hepático	Santa Juana	2017	LAB ECO EVO UBB 
5	Eupsophus contulmoensis	Econtct012017	Tejido hepático	Contulmo	2017	LAB ECO EVO UBB 
6	Eupsophus contulmoensis	Econtct022017	Tejido hepático	Contulmo	2017	LAB ECO EVO UBB 
7	Eupsophus contulmoensis	Econtct032017	Tejido hepático	Contulmo	2017	LAB ECO EVO UBB 
8	Eupsophus migueli	Emicol1012016	Tejido hepático	Colegual IV	2016	LAB ECO EVO UBB 
9	Eupsophus migueli	Emicol1022016	Tejido hepático	Colegual IV	2016	LAB ECO EVO UBB 
10	Eupsophus migueli	Emicol1032016	Tejido hepático	Colegual IV	2016	LAB ECO EVO UBB 
11	Eupsophus migueli	Emicol1042016	Tejido hepático	Colegual IV	2016	LAB ECO EVO UBB 
12	Eupsophus migueli	Emicol1052016	Tejido hepático	Colegual IV	2016	LAB ECO EVO UBB 
13	Eupsophus septentrionalis	Esep01	Tejido hepático	Los Queules	2017	LAB ECO EVO UBB 
14	Eupsophus septentrionalis	Esep02	Tejido hepático	Los Queules	2017	LAB ECO EVO UBB 
15	Eupsophus roseus	Erossj012023	Hisopado cutáneo	Santa Juana	2023	LAB ECO EVO UBB 
16	Eupsophus roseus	Erossj022023	Hisopado cutáneo	Santa Juana	2023	LAB ECO EVO UBB 
17	Eupsophus roseus	Erossj032023	Hisopado cutáneo	Santa Juana	2023	LAB ECO EVO UBB 
18	Eupsophus roseus	Erossj012023h	Tejido hepático	Santa Juana	2023	LAB ECO EVO UBB 
19	Eupsophus roseus	Erossj032023h	Tejido hepático	Santa Juana	2023	LAB ECO EVO UBB 
20	Eupsophus altor	Ealtceron012016	Tejido hepático	Cerro Oncol	2016	LAB ECO EVO UBB 
21	Eupsophus altor	Ealtceron022016	Tejido hepático	Cerro Oncol	2016	LAB ECO EVO UBB 
22	Eupsophus altor	Ealtceron032016	Tejido hepático	Cerro Oncol	2016	LAB ECO EVO UBB 
23	Eupsophus altor	Ealtceron042016	Tejido hepático	Cerro Oncol	2016	LAB ECO EVO UBB 
24	Eupsophus altor	Ealtceron052016	Tejido hepático	Cerro Oncol	2016	LAB ECO EVO UBB 
