file	call	POMC_score	Rhod1_score	pf_ok	pr_ok	rf_ok	rr_ok	pf_mm	pr_mm	rf_mm	rr_mm	action
28276-CRISTIAN-Ealt_1-Rhod-Rhod1A_2024-12-18-11-02-58_G04 (2).ab1	Rhod1	44	36	0	0	0	0	20	24	15	21	none
28276-CRISTIAN-Ealt_1-Rhod-Rhod1A_2024-12-18-11-02-58_G04.ab1	Rhod1	44	36	0	0	0	0	20	24	15	21	none
28277-CRISTIAN-Ealt_1-Rhod-Rhod1C_2024-12-18-11-02-58_H04 (2).ab1	Rhod1	44	37	0	0	0	0	23	21	17	20	none
28277-CRISTIAN-Ealt_1-Rhod-Rhod1C_2024-12-18-11-02-58_H04.ab1	Rhod1	44	37	0	0	0	0	23	21	17	20	none
28278-CRISTIAN-Ealt_2-Rhod-Rhod1A_2024-12-18-11-02-58_A05 (2).ab1	undetermined	37	37	0	0	0	0	13	24	16	21	none
28278-CRISTIAN-Ealt_2-Rhod-Rhod1A_2024-12-18-11-02-58_A05.ab1	undetermined	37	37	0	0	0	0	13	24	16	21	none
28279-CRISTIAN-Ealt_2-Rhod-Rhod1C_2024-12-18-11-02-58_B05 (2).ab1	Rhod1	38	37	0	0	0	0	20	18	19	18	none
28279-CRISTIAN-Ealt_2-Rhod-Rhod1C_2024-12-18-11-02-58_B05.ab1	Rhod1	38	37	0	0	0	0	20	18	19	18	none
28280-CRISTIAN-Ealt_3-Rhod-Rhod1A_2024-12-18-11-02-58_C05 (2).ab1	Rhod1	42	36	0	0	0	0	18	24	15	21	none
28280-CRISTIAN-Ealt_3-Rhod-Rhod1A_2024-12-18-11-02-58_C05.ab1	Rhod1	42	36	0	0	0	0	18	24	15	21	none
28281-CRISTIAN-Ealt_3-Rhod-Rhod1C_2024-12-18-11-02-58_D05 (2).ab1	Rhod1	38	35	0	0	0	0	20	18	17	18	none
28281-CRISTIAN-Ealt_3-Rhod-Rhod1C_2024-12-18-11-02-58_D05.ab1	Rhod1	38	35	0	0	0	0	20	18	17	18	none
28282-CRISTIAN-Ealt_4-Rhod-Rhod1A_2024-12-18-11-02-58_E05 (2).ab1	POMC	39	40	0	0	0	0	16	23	20	20	none
28282-CRISTIAN-Ealt_4-Rhod-Rhod1A_2024-12-18-11-02-58_E05.ab1	POMC	39	40	0	0	0	0	16	23	20	20	none
28283-CRISTIAN-Ealt_4-Rhod-Rhod1C_2024-12-18-11-02-58_F05 (2).ab1	Rhod1	46	37	0	0	0	0	25	21	17	20	none
28283-CRISTIAN-Ealt_4-Rhod-Rhod1C_2024-12-18-11-02-58_F05.ab1	Rhod1	46	37	0	0	0	0	25	21	17	20	none
28284-CRISTIAN-Ealt_5-Rhod-Rhod1A_2024-12-18-11-02-58_G05 (2).ab1	Rhod1	42	36	0	0	0	0	18	24	15	21	none
28284-CRISTIAN-Ealt_5-Rhod-Rhod1A_2024-12-18-11-02-58_G05.ab1	Rhod1	42	36	0	0	0	0	18	24	15	21	none
28285-CRISTIAN-Ealt_5-Rhod-Rhod1C_2024-12-18-11-02-58_H05 (2).ab1	Rhod1	45	41	0	0	0	0	22	23	20	21	none
28285-CRISTIAN-Ealt_5-Rhod-Rhod1C_2024-12-18-11-02-58_H05.ab1	Rhod1	45	41	0	0	0	0	22	23	20	21	none
28286-CRISTIAN-Ealt_6-Rhod-Rhod1A_2024-12-18-11-02-58_A06 (2).ab1	Rhod1	40	37	0	0	0	0	15	25	17	20	none
28286-CRISTIAN-Ealt_6-Rhod-Rhod1A_2024-12-18-11-02-58_A06.ab1	Rhod1	40	37	0	0	0	0	15	25	17	20	none
28287-CRISTIAN-Ealt_6-Rhod-Rhod1C_2024-12-18-11-02-58_B06 (2).ab1	POMC	37	39	0	0	0	0	18	19	21	18	none
28287-CRISTIAN-Ealt_6-Rhod-Rhod1C_2024-12-18-11-02-58_B06.ab1	POMC	37	39	0	0	0	0	18	19	21	18	none
28288-CRISTIAN-Ealt_7-Rhod-Rhod1A_2024-12-18-11-02-58_C06 (2).ab1	Rhod1	40	38	0	0	0	0	18	22	18	20	none
28288-CRISTIAN-Ealt_7-Rhod-Rhod1A_2024-12-18-11-02-58_C06.ab1	Rhod1	40	38	0	0	0	0	18	22	18	20	none
28289-CRISTIAN-Ealt_7-Rhod-Rhod1C_2024-12-18-11-02-58_D06 (2).ab1	undetermined	35	35	0	0	0	0	18	17	19	16	none
28289-CRISTIAN-Ealt_7-Rhod-Rhod1C_2024-12-18-11-02-58_D06.ab1	undetermined	35	35	0	0	0	0	18	17	19	16	none
28290-CRISTIAN-Ealt_8-Rhod-Rhod1A_2024-12-18-11-02-58_E06 (2).ab1	Rhod1	43	37	0	0	0	0	22	21	17	20	none
28290-CRISTIAN-Ealt_8-Rhod-Rhod1A_2024-12-18-11-02-58_E06.ab1	Rhod1	43	37	0	0	0	0	22	21	17	20	none
28291-CRISTIAN-Ealt_8-Rhod-Rhod1C_2024-12-18-11-02-58_F06 (2).ab1	Rhod1	38	36	0	0	0	0	19	19	18	18	none
28291-CRISTIAN-Ealt_8-Rhod-Rhod1C_2024-12-18-11-02-58_F06.ab1	Rhod1	38	36	0	0	0	0	19	19	18	18	none
28292-CRISTIAN-Ealt_9-Rhod-Rhod1A_2024-12-18-11-02-58_G06 (2).ab1	Rhod1	41	39	0	0	0	0	18	23	17	22	none
28292-CRISTIAN-Ealt_9-Rhod-Rhod1A_2024-12-18-11-02-58_G06.ab1	Rhod1	41	39	0	0	0	0	18	23	17	22	none
28293-CRISTIAN-Ealt_9-Rhod-Rhod1C_2024-12-18-11-02-58_H06 (2).ab1	Rhod1	36	31	0	0	0	0	18	18	13	18	none
28293-CRISTIAN-Ealt_9-Rhod-Rhod1C_2024-12-18-11-02-58_H06.ab1	Rhod1	36	31	0	0	0	0	18	18	13	18	none
28294-CRISTIAN-Ealt_10-Rhod-Rhod1A_2024-12-18-11-02-58_A07.ab1	Rhod1	39	37	0	0	0	0	15	24	16	21	none
28295-CRISTIAN-Ealt_10-Rhod-Rhod1C_2024-12-18-11-02-58_B07.ab1	Rhod1	42	34	0	0	0	0	23	19	18	16	none
28296-CRISTIAN-Ealt_11-Rhod-Rhod1A_2024-12-18-11-02-58_C07.ab1	Rhod1	40	37	0	0	0	0	18	22	16	21	none
28297-CRISTIAN-Ealt_11-Rhod-Rhod1C_2024-12-18-11-02-58_D07.ab1	undetermined	36	36	0	0	0	0	18	18	18	18	none
28298-CRISTIAN-Ealt_12-Rhod-Rhod1A_2024-12-18-11-02-58_E07.ab1	Rhod1	40	35	0	0	0	0	18	22	15	20	none
28299-CRISTIAN-Ealt_12-Rhod-Rhod1C_2024-12-18-11-02-58_F07.ab1	POMC	36	37	0	0	0	0	18	18	19	18	none
28300-CRISTIAN-Ealt_13-Rhod-Rhod1A_2024-12-18-11-02-58_G07.ab1	Rhod1	39	35	0	0	0	0	15	24	14	21	none
28301-CRISTIAN-Ealt_13-Rhod-Rhod1C_2024-12-18-11-02-58_H07.ab1	Rhod1	41	33	0	0	0	0	24	17	17	16	none
28302-CRISTIAN-Ealt_14-Rhod-Rhod1A_2024-12-18-11-02-58_A08.ab1	Rhod1	36	34	0	0	0	0	14	22	14	20	none
28303-CRISTIAN-Ealt_14-Rhod-Rhod1C_2024-12-18-11-02-58_B08.ab1	Rhod1	38	34	0	0	0	0	18	20	16	18	none
28304-CRISTIAN-Ealt_15-Rhod-Rhod1A_2024-12-18-11-02-58_C08.ab1	POMC	38	40	0	0	0	0	16	22	20	20	none
28305-CRISTIAN-Ealt_15-Rhod-Rhod1C_2024-12-18-11-02-58_D08.ab1	Rhod1	39	34	0	0	0	0	19	20	13	21	none
