file	call	POMC_score	Rhod1_score	P_strand	R_strand	pf_ok	pr_ok	rf_ok	rr_ok	pf_mm	pr_mm	rf_mm	rr_mm	pf_off	pr_off	rf_off	rr_off	action
28276-CRISTIAN-Ealt_1-Rhod-Rhod1A_2024-12-18-11-02-58_G04 (2).ab1	Rhod1	29	16	+	-	0	0	0	1	15	14	11	5	3	33	18	6	none
28276-CRISTIAN-Ealt_1-Rhod-Rhod1A_2024-12-18-11-02-58_G04.ab1	Rhod1	29	16	+	-	0	0	0	1	15	14	11	5	3	33	18	6	none
28277-CRISTIAN-Ealt_1-Rhod-Rhod1C_2024-12-18-11-02-58_H04 (2).ab1	Rhod1	28	15	+	-	0	0	1	0	14	14	2	13	28	68	1	27	none
28277-CRISTIAN-Ealt_1-Rhod-Rhod1C_2024-12-18-11-02-58_H04.ab1	Rhod1	28	15	+	-	0	0	1	0	14	14	2	13	28	68	1	27	none
28278-CRISTIAN-Ealt_2-Rhod-Rhod1A_2024-12-18-11-02-58_A05 (2).ab1	Rhod1	27	20	+	-	0	0	0	0	13	14	11	9	0	33	18	29	none
28278-CRISTIAN-Ealt_2-Rhod-Rhod1A_2024-12-18-11-02-58_A05.ab1	Rhod1	27	20	+	-	0	0	0	0	13	14	11	9	0	33	18	29	none
28279-CRISTIAN-Ealt_2-Rhod-Rhod1C_2024-12-18-11-02-58_B05 (2).ab1	Rhod1	26	15	+	-	0	0	1	0	12	14	2	13	78	69	2	0	none
28279-CRISTIAN-Ealt_2-Rhod-Rhod1C_2024-12-18-11-02-58_B05.ab1	Rhod1	26	15	+	-	0	0	1	0	12	14	2	13	78	69	2	0	none
28280-CRISTIAN-Ealt_3-Rhod-Rhod1A_2024-12-18-11-02-58_C05 (2).ab1	Rhod1	29	20	+	-	0	0	0	0	15	14	11	9	7	33	18	32	none
28280-CRISTIAN-Ealt_3-Rhod-Rhod1A_2024-12-18-11-02-58_C05.ab1	Rhod1	29	20	+	-	0	0	0	0	15	14	11	9	7	33	18	32	none
28281-CRISTIAN-Ealt_3-Rhod-Rhod1C_2024-12-18-11-02-58_D05 (2).ab1	Rhod1	26	16	+	-	0	0	1	0	12	14	2	14	77	69	2	71	none
28281-CRISTIAN-Ealt_3-Rhod-Rhod1C_2024-12-18-11-02-58_D05.ab1	Rhod1	26	16	+	-	0	0	1	0	12	14	2	14	77	69	2	71	none
28282-CRISTIAN-Ealt_4-Rhod-Rhod1A_2024-12-18-11-02-58_E05 (2).ab1	Rhod1	29	20	+	-	0	0	0	0	15	14	11	9	69	34	19	30	none
28282-CRISTIAN-Ealt_4-Rhod-Rhod1A_2024-12-18-11-02-58_E05.ab1	Rhod1	29	20	+	-	0	0	0	0	15	14	11	9	69	34	19	30	none
28283-CRISTIAN-Ealt_4-Rhod-Rhod1C_2024-12-18-11-02-58_F05 (2).ab1	Rhod1	26	12	+	-	0	0	1	0	12	14	2	10	76	68	1	0	none
28283-CRISTIAN-Ealt_4-Rhod-Rhod1C_2024-12-18-11-02-58_F05.ab1	Rhod1	26	12	+	-	0	0	1	0	12	14	2	10	76	68	1	0	none
28284-CRISTIAN-Ealt_5-Rhod-Rhod1A_2024-12-18-11-02-58_G05 (2).ab1	Rhod1	29	19	+	-	0	0	0	0	15	14	11	8	8	33	18	7	none
28284-CRISTIAN-Ealt_5-Rhod-Rhod1A_2024-12-18-11-02-58_G05.ab1	Rhod1	29	19	+	-	0	0	0	0	15	14	11	8	8	33	18	7	none
28285-CRISTIAN-Ealt_5-Rhod-Rhod1C_2024-12-18-11-02-58_H05 (2).ab1	Rhod1	28	14	+	-	0	0	1	0	14	14	2	12	32	67	0	4	none
28285-CRISTIAN-Ealt_5-Rhod-Rhod1C_2024-12-18-11-02-58_H05.ab1	Rhod1	28	14	+	-	0	0	1	0	14	14	2	12	32	67	0	4	none
28286-CRISTIAN-Ealt_6-Rhod-Rhod1A_2024-12-18-11-02-58_A06 (2).ab1	Rhod1	29	18	+	-	0	0	0	0	15	14	11	7	0	32	17	7	none
28286-CRISTIAN-Ealt_6-Rhod-Rhod1A_2024-12-18-11-02-58_A06.ab1	Rhod1	29	18	+	-	0	0	0	0	15	14	11	7	0	32	17	7	none
28287-CRISTIAN-Ealt_6-Rhod-Rhod1C_2024-12-18-11-02-58_B06 (2).ab1	Rhod1	27	13	-	-	0	0	1	0	14	13	1	12	10	68	74	11	none
28287-CRISTIAN-Ealt_6-Rhod-Rhod1C_2024-12-18-11-02-58_B06.ab1	Rhod1	27	13	-	-	0	0	1	0	14	13	1	12	10	68	74	11	none
28288-CRISTIAN-Ealt_7-Rhod-Rhod1A_2024-12-18-11-02-58_C06 (2).ab1	Rhod1	28	20	+	-	0	0	0	0	14	14	11	9	7	34	19	35	none
28288-CRISTIAN-Ealt_7-Rhod-Rhod1A_2024-12-18-11-02-58_C06.ab1	Rhod1	28	20	+	-	0	0	0	0	14	14	11	9	7	34	19	35	none
28289-CRISTIAN-Ealt_7-Rhod-Rhod1C_2024-12-18-11-02-58_D06 (2).ab1	Rhod1	28	18	-	+	0	0	0	0	15	13	9	9	26	68	71	67	none
28289-CRISTIAN-Ealt_7-Rhod-Rhod1C_2024-12-18-11-02-58_D06.ab1	Rhod1	28	18	-	+	0	0	0	0	15	13	9	9	26	68	71	67	none
28290-CRISTIAN-Ealt_8-Rhod-Rhod1A_2024-12-18-11-02-58_E06 (2).ab1	Rhod1	27	20	+	-	0	0	0	0	13	14	11	9	7	33	18	35	none
28290-CRISTIAN-Ealt_8-Rhod-Rhod1A_2024-12-18-11-02-58_E06.ab1	Rhod1	27	20	+	-	0	0	0	0	13	14	11	9	7	33	18	35	none
28291-CRISTIAN-Ealt_8-Rhod-Rhod1C_2024-12-18-11-02-58_F06 (2).ab1	Rhod1	28	18	-	+	0	0	0	0	15	13	9	9	25	68	71	66	none
28291-CRISTIAN-Ealt_8-Rhod-Rhod1C_2024-12-18-11-02-58_F06.ab1	Rhod1	28	18	-	+	0	0	0	0	15	13	9	9	25	68	71	66	none
