file	call	POMC_hits	RHOD_hits	action
28276-CRISTIAN-Ealt_1-Rhod-Rhod1A_2024-12-18-11-02-58_G04 (2).ab1	NA	0	0	skip(basecall_failed)
28276-CRISTIAN-Ealt_1-Rhod-Rhod1A_2024-12-18-11-02-58_G04.ab1	NA	0	0	skip(basecall_failed)
28277-CRISTIAN-Ealt_1-Rhod-Rhod1C_2024-12-18-11-02-58_H04 (2).ab1	NA	0	0	skip(basecall_failed)
28277-CRISTIAN-Ealt_1-Rhod-Rhod1C_2024-12-18-11-02-58_H04.ab1	NA	0	0	skip(basecall_failed)
28278-CRISTIAN-Ealt_2-Rhod-Rhod1A_2024-12-18-11-02-58_A05 (2).ab1	NA	0	0	skip(basecall_failed)
28278-CRISTIAN-Ealt_2-Rhod-Rhod1A_2024-12-18-11-02-58_A05.ab1	NA	0	0	skip(basecall_failed)
28279-CRISTIAN-Ealt_2-Rhod-Rhod1C_2024-12-18-11-02-58_B05 (2).ab1	NA	0	0	skip(basecall_failed)
28279-CRISTIAN-Ealt_2-Rhod-Rhod1C_2024-12-18-11-02-58_B05.ab1	NA	0	0	skip(basecall_failed)
28280-CRISTIAN-Ealt_3-Rhod-Rhod1A_2024-12-18-11-02-58_C05 (2).ab1	NA	0	0	skip(basecall_failed)
28280-CRISTIAN-Ealt_3-Rhod-Rhod1A_2024-12-18-11-02-58_C05.ab1	NA	0	0	skip(basecall_failed)
28281-CRISTIAN-Ealt_3-Rhod-Rhod1C_2024-12-18-11-02-58_D05 (2).ab1	NA	0	0	skip(basecall_failed)
28281-CRISTIAN-Ealt_3-Rhod-Rhod1C_2024-12-18-11-02-58_D05.ab1	NA	0	0	skip(basecall_failed)
28282-CRISTIAN-Ealt_4-Rhod-Rhod1A_2024-12-18-11-02-58_E05 (2).ab1	NA	0	0	skip(basecall_failed)
28282-CRISTIAN-Ealt_4-Rhod-Rhod1A_2024-12-18-11-02-58_E05.ab1	NA	0	0	skip(basecall_failed)
28283-CRISTIAN-Ealt_4-Rhod-Rhod1C_2024-12-18-11-02-58_F05 (2).ab1	NA	0	0	skip(basecall_failed)
28283-CRISTIAN-Ealt_4-Rhod-Rhod1C_2024-12-18-11-02-58_F05.ab1	NA	0	0	skip(basecall_failed)
28284-CRISTIAN-Ealt_5-Rhod-Rhod1A_2024-12-18-11-02-58_G05 (2).ab1	NA	0	0	skip(basecall_failed)
